...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column
40,002024015140,Theft of Lost or Mislaid Property,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Suspended,01/25/2025,Unknown,,Suspended
41,002025000338,Burglary,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Swen Parson Closed By,01/25/2025,0,Swen Parson,Closed By
42,002025000338,Theft Over $500,1/10/2025,08:40:00,1/8/2025,07:00:00,NA,Closed By,01/25/2025,Unknown,,Closed By
43,002024013944,Intimidation,10/23/2024,15:02:00,10/23/2024,15:02:00,NA,Neptune East Suspended,01/26/2025,0,Neptune East,Suspended
44,002025001230,Leaving Scene Property Damage,1/26/2025,14:51:00,1/26/2025,14:35:00,NA,Lucinda And Stadium Dr E Open,01/26/2025,0,Lucinda And Stadium Dr E,Open
45,002025001230,Accident,1/26/2025,14:51:00,1/26/2025,14:35:00,NA,Open,01/26/2025,Unknown,,Open
46,002025001232,Disorderly Conduct,1/26/2025,19:55:00,1/26/2025,19:50:00,NA,Patterson Hall East Open,01/26/2025,0,Patterson Hall East,Open
47,002025001240,Illegal Consumption Of Alcohol By,1/27/2025,00:18:00,1/27/2025,00:18:00,NA,Stevenson North Closed By,01/27/2025,0,Stevenson North,Closed By
48,002025001240,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/2025,00:18:00,1/27/2025,00:18:00,NA,Closed By,01/27/2025,Unknown,,Closed By
49,002025001240,Minor,1/27/2025,00:18:00,1/27/2025,00:18:00,NA,Closed By,01/27/2025,Unknown,,Closed By
50,002025001240,Minor,1/27/2025,00:18:00,1/27/2025,00:18:00,NA,Closed By,01/27/2025,Unknown,,Closed By
51,002025001241,Disorderly Conduct,1/27/2025,00:51:00,1/26/2025,19:50:00,NA,Patterson Hall East Open,01/27/2025,0,Patterson Hall East,Open
52,002025001247,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/2025,02:31:00,1/27/2025,02:25:00,NA,Stevenson North Closed By,01/27/2025,0,Stevenson North,Closed By
53,002025001275,Battery,1/27/2025,16:36:00,1/27/2025,16:36:00,NA,5 Northern View Cir Suspended,01/27/2025,0,5 Northern View Cir,Suspended
54,002025001305,Domestic Battery,1/28/2025,01:55:00,1/28/2025,01:50:00,NA,Stevenson North Closed By,01/28/2025,0,Stevenson North,Closed By
55,002025001313,Theft $500 and Under,1/28/2025,04:05:00,1/28/2025,04:05:00,NA,Gilbert Hall Open,01/28/2025,0,Gilbert Hall,Open
56,002025001322,Theft $500 and Under,1/28/2025,08:00:00,1/28/2025,08:00:00,NA,Recreation Center Open,01/28/2025,0,Recreation Center,Open
57,002025001365,Gambling-Betting Or Wagering,1/28/2025,02:42:00,1/28/2025,02:42:00,NA,Recreation Center Suspended,01/28/2025,0,Recreation Center,Suspended
58,002025001232,Disorderly Conduct,1/26/2025,19:55:00,1/26/2025,19:50:00,NA,Patterson Hall East Suspended,01/29/2025,0,Patterson Hall East,Suspended
59,002025001230,Leaving Scene Property Damage,1/26/2025,14:51:00,1/26/2025,14:35:00,NA,Lucinda And Stadium Dr E Suspended,01/30/2025,0,Lucinda And Stadium Dr E,Suspended
60,002025001230,Accident,1/26/2025,14:51:00,1/26/2025,14:35:00,NA,Suspended,01/30/2025,Unknown,,Suspended
61,002025001417,Illegal Consumption Of Alcohol By,1/30/2025,08:29:00,1/30/2025,08:30:00,NA,Stevenson South Cleared - Adult,01/30/2025,0,Stevenson South Cleared - Adult,NA
62,002025001424,Harassment through Electronic,1/30/2025,11:39:00,1/29/2025,11:26:00,NA,"DeKalb, IL Open",01/30/2025,0,"DeKalb, IL",Open
63,002025001507,Theft $500 and Under,1/31/2025,11:23:00,1/30/2025,06:00:00,NA,Neptune North Unfounded,01/31/2025,0,Neptune North,Unfounded
64,002025001673,Public Indecency,1/31/2025,01:27:00,1/31/2025,01:27:00,NA,Grant North Suspended,01/31/2025,0,Grant North,Suspended
