State,Republican,"896
Libertarian","004
Green",Libertarian,Reform,Natural Law,"341
Green",in (Constitution Party candidate),"768
Green",Constitutional (Constitution Party candidate),"203
Green",American Independent (Constitution Party candidate),"227
Green",American Constitution,Freedom (Reform Party candidate),Socialist,Socialist Workers,Prohibition,"015
Green","695
Libertarian","068
Green","208
Reform","253
Green",Workers World,"371
Socialist","230
Independent (Reform Party candidate)","286
Green","343
Reform","637
Libertarian","469
Natural Law",in (Green Party candidate),"026
Independent (Reform Party candidate)",Green,Reform (Natural Law candidate),"980
Independent (Reform Party candidate)","459
Green",By Petition (Natural Law candidate),"613
Socialist",Scattering,"459
Libertarian","923
Reform","344
Green","483
Libertarian","951
Green","579
Other","008
Green","918
Libertarian",Other,"487
Libertarian",Unenrolled (Natural Law candidate),in (Socialist Party candidate),"418
Green",Taxpayers (Constitution Party candidate),in (Reform Party candidate),Labor,"272
Libertarian",Reform Party Minnesota (Reform Party candidate),"735
Libertarian","267
Natural Law","126
Green","155
Natural Law","780
Green","114
Natural Law","978
Green",None Of These Candidates,Independent American (Constitution Party candidate),Citizens First (Reform Party candidate),No Vote Cast,"348
Green",Independence (Reform Party candidate),"783
Green","215
Conservative (Republican candidate)","087
Independence (Natural Law candidate)",Right to Life (Reform Party candidate),"498
Socialist Workers","692
Libertarian",Not Designated (Socialist Party candidate),"284
Reform","628
Libertarian",Not Designated,"276
Libertarian","342
Independent (Reform Party candidate)",Pacific Green,"189
Other","967
Green","508
Green","97
Socialist","037
Libertarian",United Citizens (Green Party candidate),"682
Natural Law","804
Independent (Constitution Party candidate)","746
Independent (Reform Party candidate)","053
Green",Unaffiliated,Vermont Grassroots,"153
Libertarian",Liberty Union (Socialist Party candidate),"290
Green",Conservative (Constitution Party candidate),"652
Libertarian","989
Workers World","497
Libertarian","693
Green","042
Scattering","481
Independent (Constitution Party candidate)"
ALABAMA,941173.0,5893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALASKA,167398.0,,28747.0,2636.0,5192.0,919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA,781652.0,,,5775.0,12373.0,1120.0,45645.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKANSAS,472940.0,,,2781.0,7358.0,1098.0,,,13421.0,1415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA,4567429.0,,,45520.0,44987.0,10934.0,,,,,418707.0,17042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO,883748.0,,,12799.0,,2240.0,,,,,,,91434.0,1319.0,10465.0,712.0,216.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT,561094.0,,,,4731.0,,,,,,,,,,,,,,64452.0,3484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,137288.0,,,774.0,,107.0,,,,,,,,,,,,,,,8307.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA,2912790.0,,,16415.0,17484.0,2281.0,,,,,,,,,,,562.0,,,,,,97488.0,1804.0,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,1419720.0,,,36332.0,,,,,,,,,,,,,,,,,,,,,,10926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,137845.0,,,1477.0,,306.0,,,,,,,,,,,,,,,,,,,,,21623.0,1071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
